2025-09-16 11:36:51 - vectorpy_vectorpy.logger - INFO - Starting token refresh scheduler... (api_client.py:160)
2025-09-16 11:50:55 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-09-16 12:05:00 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-09-16 12:19:04 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-09-16 12:33:08 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-09-16 12:47:12 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-09-16 13:01:16 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-09-16 13:15:20 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-09-16 13:29:26 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-09-16 13:43:30 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
