2025-08-12 08:12:43 - vectorpy_vectorpy.logger - INFO - Starting token refresh scheduler... (api_client.py:160)
2025-08-12 08:26:44 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 08:40:45 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 08:54:46 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 09:08:47 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 09:22:48 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 09:36:50 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 09:50:51 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 10:40:29 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 11:14:51 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-08-12 11:37:44 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
