2025-02-17 15:29:54 - vectorpy_vectorpy.logger - INFO - Starting token refresh scheduler... (api_client.py:160)
2025-02-17 15:43:55 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 15:57:56 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 16:11:57 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 16:25:58 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 16:39:59 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 16:54:00 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 17:08:01 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 17:22:02 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 17:36:03 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 17:50:04 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-02-17 18:04:05 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
