2025-04-10 15:15:17 - vectorpy_vectorpy.logger - INFO - Starting token refresh scheduler... (api_client.py:160)
2025-04-10 15:29:18 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 15:43:19 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 15:57:22 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 16:11:23 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 16:25:32 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 18:46:54 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 19:00:56 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 19:14:57 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 19:28:59 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 19:43:01 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
2025-04-10 19:57:02 - vectorpy_vectorpy.logger - INFO - Access token refreshed successfully. (api_client.py:136)
